basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
1996.01,1,177,J13w,Mutetsuyama,0-1 (8-7),false,okuridashi,1306,Ms1e,Hitachiryu,1-0 (2-5),true
1996.01,1,1306,Ms1e,Hitachiryu,1-0 (2-5),true,okuridashi,177,J13w,Mutetsuyama,0-1 (8-7),false
1996.01,1,63,J12w,Otsukasa,1-0 (4-11),true,hikiotoshi,68,J13e,Gokenzan,0-1 (5-10),false
1996.01,1,68,J13e,Gokenzan,0-1 (5-10),false,hikiotoshi,63,J12w,Otsukasa,1-0 (4-11),true
1996.01,1,8,J12e,Chiyotaikai,1-0 (9-6),true,oshidashi,1300,J11w,Daiki,0-1 (8-7),false
1996.01,1,1300,J11w,Daiki,0-1 (8-7),false,oshidashi,8,J12e,Chiyotaikai,1-0 (9-6),true
1996.01,1,22,J10w,Gojoro,1-0 (9-6),true,oshidashi,74,J11e,Kotokanyu,0-1 (8-7),false
1996.01,1,74,J11e,Kotokanyu,0-1 (8-7),false,oshidashi,22,J10w,Gojoro,1-0 (9-6),true
1996.01,1,35,J9w,Kyokushuzan,0-1 (8-7),false,yorikiri,51,J10e,Daizen,1-0 (9-6),true
1996.01,1,51,J10e,Daizen,1-0 (9-6),true,yorikiri,35,J9w,Kyokushuzan,0-1 (8-7),false
1996.01,1,57,J8w,Yamato,0-1 (6-9),false,oshidashi,1289,J9e,Rikio,1-0 (10-5),true
1996.01,1,1289,J9e,Rikio,1-0 (10-5),true,oshidashi,57,J8w,Yamato,0-1 (6-9),false
1996.01,1,29,J7w,Kotoryu,0-1 (9-6),false,yorikiri,73,J8e,Kanechika,1-0 (9-6),true
1996.01,1,73,J8e,Kanechika,1-0 (9-6),true,yorikiri,29,J7w,Kotoryu,0-1 (9-6),false
1996.01,1,66,J7e,Wakahayato,1-0 (10-5),true,yorikiri,1285,J6w,Asahisato,0-1 (8-7),false
1996.01,1,1285,J6w,Asahisato,0-1 (8-7),false,yorikiri,66,J7e,Wakahayato,1-0 (10-5),true
1996.01,1,60,J5w,Toyonoumi,1-0 (6-9),true,uwatenage,1291,J6e,Sunahama,0-1 (8-7),false
1996.01,1,1291,J6e,Sunahama,0-1 (8-7),false,uwatenage,60,J5w,Toyonoumi,1-0 (6-9),true
1996.01,1,1292,J4w,Kotogaume,1-0 (6-9),true,hatakikomi,1299,J5e,Kiraiho,0-1 (7-8),false
1996.01,1,1299,J5e,Kiraiho,0-1 (7-8),false,hatakikomi,1292,J4w,Kotogaume,1-0 (6-9),true
1996.01,1,20,J3w,Shikishima,1-0 (8-7),true,oshidashi,87,J4e,Wakanoyama,0-1 (8-7),false
1996.01,1,87,J4e,Wakanoyama,0-1 (8-7),false,oshidashi,20,J3w,Shikishima,1-0 (8-7),true
1996.01,1,27,J2w,Wakanojo,1-0 (3-12),true,uwatenage,75,J3e,Daihisho,0-1 (7-8),false
1996.01,1,75,J3e,Daihisho,0-1 (7-8),false,uwatenage,27,J2w,Wakanojo,1-0 (3-12),true
1996.01,1,24,J2e,Ganyu,0-1 (9-6),false,yorikiri,53,J1w,Tokitsunada,1-0 (7-8),true
1996.01,1,53,J1w,Tokitsunada,1-0 (7-8),true,yorikiri,24,J2e,Ganyu,0-1 (9-6),false
1996.01,1,17,M16e,Tamakasuga,1-0 (10-5),true,oshidashi,44,J1e,Kushimaumi,0-1 (7-8),false
1996.01,1,44,J1e,Kushimaumi,0-1 (7-8),false,oshidashi,17,M16e,Tamakasuga,1-0 (10-5),true
1996.01,1,42,M15e,Mainoumi,0-1 (9-6),false,yorikiri,1295,M15w,Kyokudozan,1-0 (9-6),true
1996.01,1,1295,M15w,Kyokudozan,1-0 (9-6),true,yorikiri,42,M15e,Mainoumi,0-1 (9-6),false
1996.01,1,26,M14e,Higonoumi,1-0 (9-6),true,yorikiri,52,M14w,Tomonohana,0-1 (7-8),false
1996.01,1,52,M14w,Tomonohana,0-1 (7-8),false,yorikiri,26,M14e,Higonoumi,1-0 (9-6),true
1996.01,1,62,M13w,Daishi,0-1 (8-7),false,hatakikomi,1301,M13e,Kirishima,1-0 (7-8),true
1996.01,1,1301,M13e,Kirishima,1-0 (7-8),true,hatakikomi,62,M13w,Daishi,0-1 (8-7),false
1996.01,1,15,M12e,Oginishiki,1-0 (8-7),true,hatakikomi,34,M12w,Asanowaka,0-1 (8-7),false
1996.01,1,34,M12w,Asanowaka,0-1 (8-7),false,hatakikomi,15,M12e,Oginishiki,1-0 (8-7),true
